"TimeCreated","Id","Usuario","Dominio","OrigenIP","MotivoCode"
"22/04/2026 15:30:06","4625","Administrador","PRACTICA8","127.0.0.1","%%2313"
"20/04/2026 12:25:55","4625","administrador@practica8.local","","-","%%2313"
"26/03/2026 8:09:46","4625","administrador@practica8.local","","-","%%2313"
"26/03/2026 8:09:00","4625","Administrador","PRACTICA8","127.0.0.1","%%2309"
"02/03/2026 22:16:49","4625","NOUSER","SRV-WINDOWSSERV","-","%%2313"
"02/03/2026 22:16:40","4625","NOUSER","SRV-WINDOWSSERV","-","%%2313"
"02/03/2026 22:07:49","4625","NOUSER","SRV-WINDOWSSERV","-","%%2313"
"02/03/2026 22:07:12","4625","NOUSER","SRV-WINDOWSSERV","-","%%2313"
"02/03/2026 22:05:58","4625","NOUSER","SRV-WINDOWSSERV","-","%%2313"
"02/03/2026 22:05:26","4625","NOUSER","SRV-WINDOWSSERV","-","%%2313"
